id,nombres,apellidos,sentencia_id
158,Nariño Alcocer,Juan Camilo,5129
159,Acevedo Romero,Consuelo,5131
160,Parra Gamboa,Jhon Jairo,5131
161,Escorcia Vargas,Luz Maria,5131
162,Herrera Mercado,Hernando,5132
163,Acero Moreno,Cesar Lamber,5133
164,Garzón Romero,Javier Gorgonio,5133
165,Reyes Gómez,Hernán,5133
166,Hernández Campos,Crystian Enrique,5139
167,Santos Montaña,Rosalba,5139
168,Díaz Méndez,Diego Fernando,5139
169,Torres Carcamo,Nixon,5146
170,Santos Montaña,Rosalba,5147
171,Parra Gamboa,John Jairo,5148
172,López,Nancy Patricia,5148
173,Hernández Galindo,José Gregorio,5151
174,Santos Montaña,Rosalba,5153
175,Hernández Campos,Crystian Enrique,5153
176,Fernández Franco,Luis Gabriel,5156
177,Gómez Pineda,Óscar David,5162
178,Sanabria Santos,Henry,5162
179,Cepeda Castro,Iván,5164
180,Reyes Cruz,Elizabeth,5172
181,Montenegro Jara,Silva Helena,5172
182,Fonseca Díaz,Jenny Milena,5172
183,Zayhonara Morales,Yulainny,5173
184,Guzmán Buitrago,Jackeline,5173
185,Barreto Lozada,Nelfy Astrid,5173
186,Sánchez Ramírez,Ebert Andrés,5173
187,Suárez Torres,Marcela,5173
188,Hernández Galindo,José Gregorio,5174
189,Guzmán Ramírez,Alberto De Jesús,5176
190,Burckhardt Pérez,Anna,5184
191,Prada Uribe,María Angélica,5184
192,Peña Gómez,Santiago,5184
193,Padilla Téllez,Giovanni,5190
194,Parrado Torres,Bernardo De Jesús,5190
195,Suárez Ortíz,Luz Mary,5190
196,Madero Mendoza,Doris,5190
197,Gallón Giraldo,Gustavo,5191
198,Santana Rodríguez,Pedro,5191
199,Choachí González,Helberth Augusto,5191
200,Bolaños Cuellar,Sergio,5191
201,Henao,Héctor Fabio,5191
202,Lancheros Gámez,Juan Carlos,5192
203,Guerrero Rodríguez,Freddy A.,5194
204,Estupiñán Solís,Benildo,5194
205,Uprimny Yepes,Rodrigo,5194
206,Sánchez Duque,Luz María,5194
207,Rangel Garzón,Paula,5194
208,Torres Cárcamo,Nixon,5199
209,Naranjo Flórez,Carlos Eduardo,5204
210,Córdoba Triviño,Jaime,5204
211,Bejarano,Juan Carlos,5205
212,Castillo Cuartas,Carlos Ricardo,5206
213,Escobar Gil,Rodrigo,5207
214,Cock Suelt,Vannesa,5220
215,Cuz Tejada,Horacio,5223
216,Gomez Pineda,Oscar David,5225
217,Lopez Mesa,Jaime Humberto,5231
218,Forero Ramírez,Sandra,5237
219,Bonilla Parra,Bernardo,5237
220,Naranjo Velez,Cesar Arturo,5237
221,Garcia De Bernal,Miryam,5237
222,Londoño Ramirez,Luis Eduardo,5237
223,Olano Garcia,Hernan Alejandro,5246
224,Olano Garcia,Hernan Alejandro,5247
225,Savedra Carvajal,Laura,5250
226,Trujillo Chavez,Diana Fernanda,5257
227,Salazar Morales,Maria Paula,5261
228,Castañeda Pulido,Maria Alejandra,5261
229,Ojeda Bustos,Shirley Astrid,5261
230,Martinez Sarmiento,Maria Fernanda,5261
231,Castiblanco Rojas,Ana Druney,5268
232,Rojas Murcia,Martha Janneth,5268
233,Barriga Bernal,Luis Gabriel,5268
234,Mendez Suarez,Daniel Ignacio,5268
235,Arias Mayorga,Raul,5269
236,Romero,Olga Lucia,5269
237,Buchely,Diana,5269
238,Murcia Perez,Luz Mery,5270
239,Carmargo Reyes,Lindsay,5270
240,Perez Rojas,Jose Clemente,5270
241,Figueroa Cantillo,Piedad Del Socorro,5272
242,Ocampo Hernández,Sonia Andrea,5272
243,Díaz Rivera,Luz Adriana,5272
244,Linares Beltrán,Francisco Javier,5272
245,Corredor Becerra, edwin Giovani,5272
246,Garay Forero,Juan Carlos,5273
247,Padilla Muñoz,Andrea,5273
248,Palacios Mejia,Hugo,5275
249,Chavez Cortes,Janpor Eliecer,5276
250,Rendón Nerio,Daniel,5276
251,Trujillo,Raúl,5276
252,Silva Gutierrez,Luis Ramon,5280
253,Ramirez Bonilla,Jaime Humberto,5281
254,Ramírez Cardona,Camilo,5284
255,Pontón Jiménez,Adriana,5284
256,Neita,Camilo Andres,5284
257,Garavito Díaz,Ruth Amanda ,5284
258,Lopez Cortes,Armando,5287
259,Olivera De La Ossa, ivaña Rocio,5293
260,Granados Vásquez,Cesar Raúl,5293
261,Botero Cárdenas,Edgar ,5293
262,Caicedo Montaña,Juan Pablo,5299
263,Gutiérrez Sarmiento,Carlos Enrique,5300
264,De Zubiría Samper,Andres,5301
265,Mora,Jahnnie Luz Daniel,5308
266,Sanabria Santos,Henry,5317
267,Garcia Jaramillo,Santiago,5319
268, gómez Quintero,Nicolás Andrés,5326
269,Garcia Jaramillo,Santiago,5327
270,Segura Gutiérrez,Luis Guillermo,5328
271,Fernández Zea,Guillermo,5351
272,Sánchez Restrepo,Luisa Fernanda,5351
273,Garay Forero,Juan Carlos,5357
274,González Ulloa,Luis Miguel,5361
275,Cruz Triana,Karen Paola,5362
276, rodríguez Bustos,Milena,5365
277, bolaños Bulla,Dary Esther,5365
278,Ortiz Sánchez,Diana Carolina,5365
279,Álvarez Lombo,Erica Dayán,5365
280,Cárdenas Boada,Andrés,5365
281,García Quintero,Gina Paola,5366
282,Cortés,Gina Pilar,5366
283,Alemán Buitrago,José Ignácio,5366
284,Moreno Melo,Héctor Horacio,5366
285,Rdoñez Barbosa,Albersson,5366
286,Galvis Padilla,Alirio,5368
287,Peña Ramírez ,Diego Camil,5370
288,Trujillo,Benjamín,5375
289,Monroy Rodríguez,Alexander,5379
290,Cardona Cáceres,Andrea,5380
291,Parra Muriel,Harold Andrés,5380
292,Reyes Nocua,Robinson,5380
293,Muñoz Hernández,Francy Milena,5380
294,González Canabal,Luis Orlando,5380
295,Restrepo Roldan,Nestor,5381
296,León Ardila,Carlos Arturo,5381
297,Moreno García,Jaime,5381
298,Silva,Elmer Ramiro,5387
299,Romero Carvajal, xiomara Marcela,5397
300,Guerra,Juan Ignacio,5397
301,Heras Montes,Felipe Andrés,5414
302,Padilla Isaza,Andrés Felipe,5417
303,Céspedes Sanabria,Alba Patricia,5419
304,Sabogal Jaramillo,Javier Mauricio,5419
305,Vargas García,Lina,5419
306,Corredor Castilla,Jorge Enrique,5420
307,Borda Villegas,Enrique,5420
308, castañeda Manrique,Ángel,5420
309,Samper Pizano,Daniel,5422
310,Donadío,Alberto,5422
311,Orozco Caicedo,Edgar Daniel,5423
312,Baptiste Merizalde,Santiago,5423
313,Robledo,Pablo Felipe,5423
314,Canosa Suárez,Ulises,5423
315,Villamil Portilla,Edgardo,5423
316,Velásquez Mendoza,Rosmary,5425
317,Hermoso Quintero,Paola Andrea,5429
318,Noriega ,Smith,5432
319,Naranjo,Yenny,5432
320,Losada,Carlos,5432
321,Bucheli Espinosa,María Cristina,5434
322,Osejo Bucheli,Mario Fernando,5434
323,Ospina,David,5436
324,Cumplido,Sandra,5436
325,Parga,Daniel,5436
326,Peñafort Garcés,Ximena,5442
327,Quintero Machado,Marco Aurelio,5442
328,Castañeda Rabledo,Carlos Ernesto,5451
329,Pava L.,Mauricio,5456
330,Hernández Galindo,José Gregorio,5465
331,Aguirre Cruz,Gustavo Alberto,5466
332,Moreno Cruz,Carlos Alfredo,5466
333,Gaviria Muñoz,Simón,5469
334,Molina,Natalia,5473
335,Murcia,Wendy,5473
336,Real,Hatseant,5473
337,Rodríguez,Hernán Danilo,5473
338,Arteaga,Fabián,5473
339,Angulo Marínez,Diego Alexander,5474
340,Urrego Ortiz,Franky,5474
341,Bocanegra Rozo,Jessica,5475
342,Albarracín Coronado,Nicolás,5475
343,Rodríguez Pineda,Yenny Johana,5475
344,Buitrago Rubiano,Alejandra,5475
345,Brieva Martínez,Teofane Rodrigo,5475
346,Bolaños Lizcano,Julián,5476
347,Suárez Gómez,Jimmy Alejandro,5476
348,García Morales,Ángela Patricia,5476
349,Pineda Forero,Sergio Danilo,5476
350,Rojas Naranjo,Nelia Esperanza,5476
351,Gómez Jiménez,Carlos José,5477
352,Bernal Castro,Sergio,5478
353,Joya Suárez,Ginna Paola,5478
354,Polo Castillo,María De Los Angeles,5478
355,Toledo Laiseca,Natalia Andrea,5478
356,Andrade Ramírez,José,5478
357,Acosta Romero,Sandra Patricia,5479
358,González Sánchez,Sandra Yanneth,5479
359,Ruiz Vargas,Martha Rocío,5479
360,Gómez Mosquera,Laura Stefany,5479
361,Fernández Santamaría,Diego Armando,5479
362,Hernández Pérez,Martha,5480
363,Moreno Perea,Lucy,5480
364,Ruiz López,Lady,5480
365,Lora Celedón,Stefany,5480
366,Forero Pinzón,Leydy,5480
367,Burbano Villamarín,Jorge Keneth,5481
368,Cadena Flechas,Christian Adrian ,5484
369,García Núñez,Hilda Marcela,5485
370,Reinoso Cantillo,Vivian Steffany,5485
371,Camacho Beltrán,Gina Catalina,5485
372,Restrepo,Hasbleidy Tatiana,5485
373,Betancourt,Cristhian Armando,5485
374,Jaramillo caro,Santiago,5486
375,Córdoba triviño,Jaime,5486
376,Forer,Andreas,5487
377,López Díaz,Claudia,5487
378,González Medina,Diego Andrés,5487
379,Correa Grisales,Maria Fernanda,5488
380,Portela Pamplona,Beatriz,5488
381,Gutiérrez Rincón,Luisa Fernanda,5488
382,Granados Machado Ávila,Mario,5488
383,Rodríguez Carrillo,Claudia,5488
384,Carrillo Martínez,Edgar Enrique,5492
385,Velazco Chávez,Luis Fernando,5495
386,Moreno Piraquive,Alexandra,5495
387,García Realpe,Guillermo,5495
388,Roa Salguero,David Alonso,5505
389,Rumie Valois,Karol Andrés,5507
390,Buitrago Galindo,Juan Diego,5511
391,Duica Amaya,Arturo,5511
392,Herrera Miranda,Pedro Antonio,5516
393,Feria,Luis,5522
394,Pulido Fajardo,Lina Camila,5527
